G#,G,F#,F,E,D#,D,C#,C,B,A#,A
0.150943396,0.0251572327,0,0.0503144654,0,0,0.421383648,0.0251572327,0,0.0440251572,0.194968553,0.0880503145
0.0628930818,0,0.176100629,0.0314465409,0.0566037736,0,0.0754716981,0.396226415,0.0125786164,0.0125786164,0.119496855,0.0566037736
0.0125786164,0.465408805,0.00628930818,0,0,0.0566037736,0.371069182,0,0,0.00628930818,0.0125786164,0.0691823899
0.421383648,0.0125786164,0,0.00628930818,0.0566037736,0,0.402515723,0.0188679245,0,0.0251572327,0.00628930818,0.0503144654
0.0817610063,0.0125786164,0,0,0.0377358491,0.735849057,0,0,0.0188679245,0.0251572327,0.0754716981,0.0125786164
0.0251572327,0,0.257861635,0.0125786164,0.00628930818,0,0.0377358491,0.58490566,0,0,0,0.0754716981
0.00628930818,0,0.440251572,0,0.00628930818,0,0.0880503145,0.383647799,0,0.0125786164,0,0.0628930818
0.238993711,0.0125786164,0.0314465409,0,0.0251572327,0.421383648,0,0,0.00628930818,0.132075472,0.119496855,0.0125786164
0.0125786164,0,0.13836478,0.0125786164,0.0503144654,0,0.0314465409,0.440251572,0.0125786164,0.0125786164,0.213836478,0.0754716981
0.0125786164,0,0.150943396,0.0503144654,0.0251572327,0,0.0628930818,0.433962264,0.0125786164,0.0188679245,0.157232704,0.0754716981
0.00628930818,0,0.125786164,0.100628931,0.0125786164,0,0.119496855,0.421383648,0.00628930818,0.0754716981,0.0817610063,0.0503144654
0.00628930818,0,0.0880503145,0.0566037736,0.0314465409,0,0.13836478,0.459119497,0.0880503145,0.0440251572,0.0251572327,0.0628930818
0.106918239,0.0628930818,0,0.0503144654,0.125786164,0,0.452830189,0,0,0.0440251572,0.0943396226,0.0628930818
0.0125786164,0.0880503145,0.0503144654,0,0.0125786164,0.0251572327,0.597484277,0,0.00628930818,0.0440251572,0.125786164,0.0377358491
0.0503144654,0.0125786164,0,0.0314465409,0,0,0.761006289,0.00628930818,0,0.00628930818,0.0754716981,0.0566037736
0.352201258,0.0377358491,0,0.0314465409,0.0125786164,0,0.490566038,0,0,0.0125786164,0.00628930818,0.0566037736
